subject,body,label
LinkedIn Security Alert: Multiple Failed Login Attempts,"Dear LinkedIn Member, We've detected multiple unsuccessful login attempts to your LinkedIn account from an unrecognized device in Eastern Europe. For your account's security, we've temporarily suspended access. To restore your account and prevent unauthorized access, please verify your identity immediately using the secure verification link below. Failure to verify within 24 hours will result in extended account suspension.",phishing
Department Budget Planning 2026,"Hello Department Heads, As we begin planning for fiscal year 2026, please find attached the budget template and guidelines for your review. Key dates to note: Initial proposals due August 15, Review meetings scheduled for September 1-15, Final submissions required by October 1. Please ensure all departmental expenses are properly categorized and future growth projections are included with supporting data. Questions? Join our budget planning workshop next Tuesday at 2 PM.",legit
Account Verification Required: PayPal Security Update,"Important Notice: PayPal's security team has identified unusual transactions on your account totaling $3,457.89 to an overseas merchant. We've temporarily limited your account access to prevent potential fraud. To restore full account functionality and reverse any unauthorized charges, click below to verify your identity and review recent transactions. Warning: Failure to verify within 48 hours may result in permanent account restrictions.",phishing
Invitation: Annual Company Retreat 2025,"Dear Colleagues, We're excited to announce our upcoming annual company retreat, scheduled for September 15-17, 2025, at the Mountain View Resort & Spa. This year's theme is 'Innovation Through Collaboration.' The agenda includes team-building activities, strategic planning sessions, guest speakers, and evening social events. Please complete the attached registration form, including dietary requirements and accommodation preferences, by August 1. Looking forward to three days of meaningful connections and inspired discussions!",legit
URGENT: Wire Transfer Authorization Needed,"From: CEO Office (ceo.external@secure-company-portal.net) Subject: Confidential Financial Matter Dear Finance Team, I'm currently in a confidential meeting and need an urgent wire transfer of $24,750 processed to our new supplier. Due to the time-sensitive nature, please process this immediately using the banking details below. This is a priority transaction for a crucial business opportunity. Do not discuss this with anyone else as it's part of a confidential acquisition. Confirm once completed.",phishing
IT Systems Maintenance Notice,"Dear Colleagues, Our IT department will be performing critical system updates this weekend, July 20-21, between 10 PM and 6 AM EDT. During this maintenance window, the following systems will be temporarily unavailable: Email servers, Internal document management system, Time tracking software, VPN access. Please save all important work and log out of these systems before 9:30 PM on Saturday. Emergency IT support will be available at ext. 5555 throughout the maintenance period.",legit
DocuSign: Urgent Document Requiring Signature,"ATTENTION: You have received a secure document requiring immediate signature from the HR department regarding employee benefits updates. The document will expire in 24 hours. To maintain your current benefits package, please review and sign the document using the secure DocuSign portal link below. Note: Failure to sign will result in benefits suspension starting August 1.",phishing
Project Phoenix Launch Update,"Team, Thank you all for your outstanding work on Project Phoenix. Here's a summary of our current status: Development is 85% complete, QA testing begins next week, Marketing materials are in final review, Launch date confirmed for August 30. Please review the attached timeline and deliverables document. We'll discuss any open items during tomorrow's stand-up meeting. Remember to update your task status in the project management system by EOD.",legit
Microsoft 365 Account Security Breach,"WARNING: Multiple unauthorized access attempts detected on your Microsoft 365 account. Our security systems indicate your account credentials may have been compromised. To prevent data loss and unauthorized access, your account will be deactivated in 2 hours unless you verify your identity. Click below to secure your account and change your password immediately.",phishing
Upcoming Office Renovation Schedule,"Dear Office Staff, As part of our workplace improvement initiative, we'll begin renovations on the 3rd floor starting August 1. The project will last approximately 6 weeks. During this time: Affected teams will temporarily relocate to floor 5, Meeting rooms A301-A305 will be unavailable, Construction work will occur between 6 PM and 6 AM to minimize disruption. Please review the attached seating chart and relocation schedule. Contact Facilities Management with any questions.",legit
Wells Fargo: Irregular Activity Detection,"Dear Valued Customer, Our fraud detection system has identified suspicious transactions on your account totaling $2,890.75 at various international merchants. To protect your funds, we've temporarily frozen your account. To review these transactions and restore account access, please verify your identity through our secure banking portal immediately. Your account may be permanently restricted if verification isn't completed within 24 hours.",phishing
Quarterly Sales Performance Review,"Sales Team, Congratulations on an outstanding Q2! Attached you'll find our comprehensive quarterly report highlighting: Top performing regions and products, Customer acquisition metrics, Revenue growth analysis, Individual and team achievements. Special recognition to the Western division for exceeding targets by 127%. Please review the report before our department meeting next Tuesday at 10 AM, where we'll discuss Q3 strategies and targets.",legit
IRS Tax Refund Processing Error,"NOTICE: The Internal Revenue Service has identified a processing error in your 2024 tax return calculation. After review, you are eligible for an additional refund of $1,478.92. To receive your refund, you must verify your identity and provide updated banking information through the IRS portal below. This refund offer expires in 48 hours. Failure to respond will result in forfeiture of the additional refund amount.",phishing
Remote Work Policy Updates 2025,"Dear Employees, Following our recent workforce survey and leadership discussions, we're implementing several updates to our remote work policy, effective August 15, 2025: New flexible scheduling options, Updated equipment allowance guidelines, Revised meeting protocols for hybrid teams, Enhanced security requirements for home offices. Please review the attached comprehensive policy document and complete the acknowledgment form by August 1. Join our policy review session next Wednesday at 3 PM for detailed discussion.",legit
DHL Express: Package Delivery Exception,"Important Notice: Your DHL package (Tracking #DHL7745321) could not be delivered due to incomplete customs documentation. To avoid return shipping charges and release your package from customs, please complete the verification process and pay the customs processing fee of $14.95 through our secure payment portal. Package will be returned to sender within 24 hours if documentation remains incomplete.",phishing
